OBJECTID,GEOMETRY_START_DATE,GEOMETRY_END_DATE,STAT_AREA,STAT_AREA_NAME,FISHERY_GROUP_CODE,GIS_SERIES_NAME,GIS_SERIES_CODE,REGION_CODE,REGISTRATION_AREA_NAME,REGISTRATION_AREA_CODE,REGISTRATION_AREA_ID,REGISTRATION_LOCATION_ABBR,MANAGEMENT_AREA_NAME,MANAGEMENT_AREA_CODE,DISTRICT_NAME,DISTRICT_CODE,DISTRICT_ID,SUBDISTRICT_NAME,SUBDISTRICT_CODE,SUBDISTRICT_ID,SECTION_NAME,SECTION_CODE,SECTION_ID,SUBSECTION_NAME,SUBSECTION_CODE,SUBSECTION_ID,COAR_AREA_CODE,CREATOR,CREATE_DATE,EDITOR,EDIT_DATE,COMMENTS,STAT_AREA_VERSION_ID,Shape__Area,Shape__Length
28,1/1/2017 12:00:00 AM,,33415,Middle Mouth,B,Salmon,B,3,Yukon Area,Y,,,Lower Yukon,YL,District 1,Y-1,,,,,,,0,,,,YL,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM, ,,0.36652694145323,3.23996114966899
29,1/1/2017 12:00:00 AM,,33416,North Mouth,B,Salmon,B,3,Yukon Area,Y,,,Lower Yukon,YL,District 1,Y-1,,,,,,,0,,,,YL,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM, ,,0.122823593869725,1.67439357405192
30,1/1/2017 12:00:00 AM,,33414,Kwiguk/Bugomowik Mouth,B,Salmon,B,3,Yukon Area,Y,,,Lower Yukon,YL,District 1,Y-1,,,,,,,0,,,,YL,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM, ,,0.137183813939373,1.77011338569677
31,1/1/2017 12:00:00 AM,,33412,South Mouth,B,Salmon,B,3,Yukon Area,Y,,,Lower Yukon,YL,District 1,Y-1,,,,,,,0,,,,YL,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM, ,,0.213544721680591,2.85756542385635
32,1/1/1988 12:00:00 AM,,33530,,B,Salmon,B,3,Kuskokwim Area,W,,,Kuskokwim Area,W,,,, ,,,,,,,,,W,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,7/18/2017 12:00:00 AM,,,1.14328233687138,11.9064058159941
33,1/1/1990 12:00:00 AM,,33520, ,B,Salmon,B,3,Kuskokwim Area,W,,,Kuskokwim Area,W,District 2,W-2,, ,,,,,,,,,W,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,7/18/2017 12:00:00 AM,,,0.208742855584205,2.96295095090813
34,1/1/1994 12:00:00 AM,,33514, ,B,Salmon,B,3,Kuskokwim Area,W,,,Kuskokwim Area,W,District 1,W-1,,Subdistrict 1-A,1-A,,,,,,,,W,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,7/18/2017 12:00:00 AM,,,0.113474135606339,1.5653523644152
35,1/1/1990 12:00:00 AM,,33513, ,B,Salmon,B,3,Kuskokwim Area,W,,,Kuskokwim Area,W,District 1,W-1,,Subdistrict 1-A,1-A,,,,,,,,W,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,7/18/2017 12:00:00 AM,,,0.109147074360408,1.45417747198482
36,1/1/1990 12:00:00 AM,,33512, ,B,Salmon,B,3,Kuskokwim Area,W,,,Kuskokwim Area,W,District 1,W-1,,Subdistrict 1-B,1-B,,Upper Section,,,,,,W,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,7/18/2017 12:00:00 AM,Upper Section established in 2007,,0.141018183699089,2.03549306653605
37,1/1/1990 12:00:00 AM,,33511, ,B,Salmon,B,3,Kuskokwim Area,W,,,Kuskokwim Area,W,District 1,W-1,,Subdistrict 1-B,1-B,,Lower Section,,,,,,W,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,7/18/2017 12:00:00 AM,Lower Section established in 2007,,0.164563180121149,1.95329427292688
